76011002,76011002
76016003,"Pracuúba, Ferreira Gomes, Amapá, Tartarugalzinho  [Municipality: Brazil]",,,,
"",76016004,,,"Oiapoque, Calçoene  [Municipality: Brazil]",
76021001,"Bom Jesus das Selvas, Buriticupu, Grajaú, Formosa da Serra Negra, Arame, Alto Alegre do Pindaré, SantaLuzia, Itaipava do Grajaú, Barra do Corda, Mirador, Fernando Falcão, Jenipapo dos Vieiras, Marajá do Sena,Tufilândia, Paulo Ramos, Brejo de Areia, Altamira do Maranhão, Lagoa Grande do Maranhão, Santa Inês,Pindaré-Mirim, Vitorino Freire, Lago da Pedra, Bela Vista do Maranhão, Satubinha, Olho d'Água das Cunhãs,Igarapé do Meio, São Raimundo do Doca Bezerra, Cajari, Pio XII, São Roberto, Bom Lugar, Lago do Junco,Vitória do Mearim, Conceição do Lago-Açu, Esperantinópolis, Poção de Pedras, Bacabal, Lago Verde, Lagodos Rodrigues, São Luís Gonzaga do Maranhão, Igarapé Grande, Joselândia, Bernardo do Mearim, Trizidelado Vale, Pedreiras, São José dos Basílios, Santo Antônio dos Lopes, Lima Campos, Presidente Dutra, DomPedro, Alto Alegre do Maranhão, Coroatá, Peritoró, Graça Aranha, Capinzal do Norte, Gonçalves Dias, Codó,",,,,
76021012,76021012
76021022,76021022
"","Pirapemas, Governador Archer, Governador Eugênio Barros, Senador Alexandre Costa, Timbiras[Municipality: Brazil]",,,,
"",76021002,,,São Luís  [Municipality: Brazil],
76021003,"São Pedro da Água Branca, Vila Nova dos Martírios, Cidelândia, Açailândia, Imperatriz, Itinga do Maranhão,São Francisco do Brejão, Governador Edison Lobão, Davinópolis, Centro Novo do Maranhão, Boa Vista doGurupi, Junco do Maranhão, Carutapera  [Municipality: Brazil]",,,,
"",76021004,,,"São João do Soter, Caxias  [Municipality: Brazil]",
76021005,São José de Ribamar  [Municipality: Brazil],,,,
"",76021006,,,"Barreirinhas, Santana do Maranhão, Paulino Neves, Tutóia, São Bernardo  [Municipality: Brazil]",
76021007,Timon  [Municipality: Brazil],,,,
"",76021008,,,"Paço do Lumiar, Raposa  [Municipality: Brazil]",
76021009,"Pedro do Rosário, Presidente Sarney, Pinheiro  [Municipality: Brazil]",,,,
"",76021010,,,"Governador Newton Bello, Zé Doca, Araguanã, Monção  [Municipality: Brazil]",
76021011,"Nova Olinda do Maranhão, Santa Luzia do Paruá, Presidente Médici, Turiaçu, Turilândia  [Municipality: Brazil]",,,,
76021012,76021012,,"Carolina, Estreito, São Pedro dos Crentes, Sítio Novo, Nova Colinas, Fortaleza dos Nogueiras  [Municipality:",,
"",,,Brazil],,
76021013,"Balsas, São Raimundo das Mangabeiras  [Municipality: Brazil]",,,,
"",76021014,,,"Bacuri, Serrano do Maranhão, Apicum-Açu, Cururupu, Porto Rico do Maranhão, Cedral  [Municipality: Brazil]",
76021015,"Miranda do Norte, Itapecuru Mirim  [Municipality: Brazil]",,,,
"",76021016,,,"Colinas, Jatobá, Fortuna, Paraibano  [Municipality: Brazil]",
76021017,Chapadinha  [Municipality: Brazil],,,,
"",76021018,,,"Araioses, Água Doce do Maranhão, Magalhães de Almeida  [Municipality: Brazil]",
76021019,"Bacabeira, Rosário, Axixá  [Municipality: Brazil]",,,,
"",76021020,,,"Maranhãozinho, Governador Nunes Freire, Cândido Mendes  [Municipality: Brazil]",
